dataset,version,file_id,relative_path,bytes,restricted,content_type,source_url,actual_bytes,partial_bytes,download_state,format_readability,decoded_format,quality_status,error,source_object_exclusion
SparrKULee,3.1,137073,.bids-validator-config.json,127,False,application/json,https://rdr.kuleuven.be/api/access/datafile/137073,127,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,JSON,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,137076,.bidsignore,361,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137076,361,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,TEXT,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,136072,derivatives/preprocessed_stimuli/.save_metadata.json,3616,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136072,3616,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,JSON,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,136121,derivatives/preprocessed_eeg/.save_metadata.json,133261,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136121,133261,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,JSON,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,137074,README.md,874,False,text/markdown,https://rdr.kuleuven.be/api/access/datafile/137074,874,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,TEXT,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,37315,stimuli/eeg/audiobook_1.apx,9586,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37315,0,0,MISSING,NOT_CHECKED,UNKNOWN,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,137123,derivatives/preprocessed_stimuli/audiobook_1.data_dict,360223306,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137123,360223306,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,RESTRICTED_NUMPY_PICKLE,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,37109,stimuli/eeg/audiobook_1.npz.gz,74745340,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37109,0,0,MISSING,NOT_CHECKED,UNKNOWN,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,37090,stimuli/eeg/audiobook_1.xml,9387,False,text/xml,https://rdr.kuleuven.be/api/access/datafile/37090,0,0,MISSING,NOT_CHECKED,UNKNOWN,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,37257,stimuli/eeg/audiobook_10_1.apx,9723,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37257,0,0,MISSING,NOT_CHECKED,UNKNOWN,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,136091,derivatives/preprocessed_stimuli/audiobook_10_1.data_dict,236656530,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136091,236656530,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,RESTRICTED_NUMPY_PICKLE,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,37067,stimuli/eeg/audiobook_10_1.npz.gz,49434153,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37067,0,0,MISSING,NOT_CHECKED,UNKNOWN,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,136108,derivatives/preprocessed_stimuli/audiobook_10_1_envelope.npy,315256,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136108,315256,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,NPY,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,37172,stimuli/eeg/audiobook_10_2.apx,9727,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37172,0,0,MISSING,NOT_CHECKED,UNKNOWN,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,137130,derivatives/preprocessed_stimuli/audiobook_10_2.data_dict,250498962,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137130,250498962,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,RESTRICTED_NUMPY_PICKLE,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,37314,stimuli/eeg/audiobook_10_2.npz.gz,51420526,False,application/gzip,https://rdr.kuleuven.be/api/access/datafile/37314,0,0,MISSING,NOT_CHECKED,UNKNOWN,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,137155,derivatives/preprocessed_stimuli/audiobook_10_2_envelope.npy,333688,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/137155,333688,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,NPY,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,37102,stimuli/eeg/audiobook_11_1.apx,9923,False,application/octet-stream,https://rdr.kuleuven.be/api/access/datafile/37102,0,0,MISSING,NOT_CHECKED,UNKNOWN,SEE_DEDICATED_QC_OR_UNKNOWN,,False
SparrKULee,3.1,136112,derivatives/preprocessed_stimuli/audiobook_11_1.data_dict,304296738,False,text/plain,https://rdr.kuleuven.be/api/access/datafile/136112,304296738,0,DOWNLOADED_SIZE_MATCH,PASS_FORMAT_READABILITY,RESTRICTED_NUMPY_PICKLE,SEE_DEDICATED_QC_OR_UNKNOWN,,False
