source_npz_gzip,expanded_server_path,role,sample_rate_hz,samples,duration_s,status,data_dict_comparison,max_abs_difference,error
stimuli/eeg/audiobook_1.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_1.npz,AUDIO,48000.0,44967811,936.8293958333334,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_10_1.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_10_1.npz,AUDIO,48000.0,29542531,615.4693958333334,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_10_2.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_10_2.npz,AUDIO,48000.0,31270531,651.4693958333334,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_11_1.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_11_1.npz,AUDIO,48000.0,37986299,791.3812291666667,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_11_2.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_11_2.npz,AUDIO,48000.0,28578299,595.3812291666667,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_12_1.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_12_1.npz,AUDIO,48000.0,31679138,659.9820416666666,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_12_2.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_12_2.npz,AUDIO,48000.0,36479138,759.9820416666666,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_13_1.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_13_1.npz,AUDIO,48000.0,48070021,1001.4587708333333,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_13_2.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_13_2.npz,AUDIO,48000.0,40870022,851.4587916666667,PASS_RAW_NPZ_METADATA,EXACT,0.0,
stimuli/eeg/audiobook_14_1.npz.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_format_qc_20260919_v1/expanded_archives/audiobook_14_1.npz,AUDIO,48000.0,50507442,1052.238375,PASS_RAW_NPZ_METADATA,EXACT,0.0,
